trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-117.02999579375798,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-118.61670054468975,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-27.562317908169998,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-36.563923105500095,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-54.61013096917634,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-59.49439390575815,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-104.1745699727717,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-53.52517251214333,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-58.75518102346232,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-46.31508530850309,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-109.55335937634521,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-104.08797908117705,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-247.00951270257104,"{0: 10, 1: 3, 2: 8, 3: 0, 4: 4}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-108.13316013885711,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-130.33480337978688,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-72.73092104091036,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-142.86515119039197,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-15.728415657252748,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-100.12548887822793,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-68.62020511896495,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-176.15809895944463,"{0: 10, 1: 7, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-116.58732292390552,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,10,-5.5037032838662965,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-41.05029431849767,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-74.27269893945893,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-67.04977315816474,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-122.09295369431099,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,10,-17.05945889408467,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-52.83653688772169,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-78.08831986947072,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-70.17059113981561,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-76.66104956873052,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-90.05630338476742,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,0,-66.3920948843463,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,0,-115.10511306639022,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-99.63823383667582,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,0,-100.90132100593948,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-58.352099495834295,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,0,-82.14020147882891,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,14,-1.33934008427282,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,10,-49.1373536982855,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,0,-136.9342725169449,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-158.157679044814,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-118.91200402653425,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-147.5199307568653,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,11,-58.03969075921097,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,-64.2017442017963,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-115.21688098914534,"{0: 8, 1: 5, 2: 4, 3: 3, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-87.11443708771532,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-42.049812670580366,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,0,-57.915307788942776,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,9,-70.9742676921028,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-101.24628041323955,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,0,-190.88659197598065,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-79.20183377481088,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
