trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.951229424500714}",25,0,-123.06916635888459,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.9048374180359595}",20,0,-62.77798596969833,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-153.90885392243763,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.05, 'e': 0.8187307530779818}",25,0,-81.84397738251896,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.7788007830714049}",25,3,-57.85749313522721,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 0}",1
6,False,"{'a': 0.05, 'e': 0.7408182206817179}",25,15,-6.594723828919811,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,9,-62.689069222142855,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.05, 'e': 0.6703200460356393}",20,0,-96.51228957858616,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.6376281516217733}",25,0,-47.03860148256992,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.6065306597126334}",25,0,-53.00354945459354,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.5769498103804866}",25,5,-55.427031986684575,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.05, 'e': 0.5488116360940264}",20,0,-21.601278873780675,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.522045776761016}",20,0,-57.81908661133684,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
