trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9588697805724845}",20,0,-133.52777405968928,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-76.61065516800248,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
44,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-37.72398101153737,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.001, 'e': 0.9559974818331}",25,3,-67.66071171794651,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 0}",1
46,False,"{'a': 0.001, 'e': 0.9550419621907147}",20,0,-16.053460178400133,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.001, 'e': 0.9540873975903711}",20,0,-78.05305240082265,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-93.17343334988166,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
49,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-29.930237242106227,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.001, 'e': 0.951229424500714}",25,0,-69.64438643912378,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.950278670532427}",20,0,-152.59047433262927,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
52,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-75.16898768293652,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.9483800124822982}",20,0,-38.709321861348364,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-81.59634104704591,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,0,-75.92827542443365,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,0,-81.35447136474376,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
57,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,0,-109.13174453764653,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.001, 'e': 0.9436499474367985}",20,0,-104.31879907175198,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.001, 'e': 0.9427067691570997}",20,0,-58.4208806689279,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.9417645335842487}",20,5,-68.7624917661824,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.001, 'e': 0.9408232397760097}",25,0,-75.7398881919344,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.001, 'e': 0.9398828867910889}",25,0,-95.52862156919926,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
63,False,"{'a': 0.001, 'e': 0.9389434736891332}",20,0,-56.47091172440973,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.9380049995307295}",20,0,-45.637790056437474,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
