trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-195.341558969211,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-119.98750720155168,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-30.116345513342523,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-89.03712201118464,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-53.633107997143455,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-130.9213989087137,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-95.8513643431741,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-66.04995375271439,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-24.9045401927188,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-176.8067341036224,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,6,13.343548196667456,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-17.094561501333654,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-90.83534629236418,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-73.15207840926769,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-5.806810046817785,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-122.01831843285693,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-2.5411188231071815,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-62.59681959663597,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-61.023575488175126,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-75.80704179882143,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-85.31394600932835,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,0,-21.51834507118882,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,4,-2.493258844947793,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,12,-26.709577734564817,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-16.69959306671468,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-49.817544785186854,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-74.48878244336305,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,0,-6.323248355163713,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-54.909477688256,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,6,-39.08594127495567,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,6,-67.40729495876029,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,4.950904759080585,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-96.49017409947047,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-154.67933236125202,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,0,-99.88935514855174,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-40.8304899212275,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,11,-15.910270339905466,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,3,-24.05693088063083,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,11,-2.964700523098216,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",25,2,-36.68212051791321,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,3,-45.19938217937688,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-50.353313058174834,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-76.63004510716944,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,7,-50.65840763378291,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,7,-23.006333217808027,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-49.95473547656139,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,2,-30.488534701107493,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-155.46383866888294,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-65.6264067193021,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-11.170956515276231,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,0,-59.710956829562555,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-93.70819206927725,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-155.80165254442548,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,12,-31.855194287010967,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,0,-84.23119578176139,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,8,-29.462038943296633,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,11,18.10535947205288,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,9,-58.190368537650876,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,-78.3699425604151,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,8,-6.849073640719626,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,12,-3.77763452488934,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,14,2.0103174819285092,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,17,-51.64653634212555,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,0,-26.17975975053885,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,7,5.412772715132403,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,-30.436222660925775,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,0,2.6376113015440796,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,16,6.795793112941228,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,12,3.098800917942726,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,19,-2.8070036379663756,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-25.456736399606083,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,6,1.6679439807003478,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,3.1006450724484447,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",25,0,-55.22726676704036,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,9,10.009791829967131,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,0,-71.57090274279821,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,0,-47.45532330682528,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,8,-14.951363036659526,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,8,8.429581741759453,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,0,-64.6324164867579,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,0,9.321050748069496,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
