trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9900498337491681}",20,0,-39.36448863420681,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
2,False,"{'a': 0.3, 'e': 0.9801986733067553}",20,0,-94.69279825516927,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9704455335485082}",20,0,-147.17903638094722,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9607894391523232}",20,0,-124.58114536933843,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.951229424500714}",20,2,-54.099598056866675,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.9417645335842487}",20,0,-27.63529937262086,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.9323938199059483}",25,0,-30.104013797042157,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9231163463866358}",20,0,-168.59595093078013,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.3, 'e': 0.9139311852712282}",30,0,-143.74327366681973,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.9048374180359595}",30,0,-60.28461196325344,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.8958341352965282}",25,0,-90.59595365239718,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-82.93029201029913,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.8780954309205613}",20,0,-130.51958804853723,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.8693582353988059}",20,0,-75.35316606709202,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,0,-93.29932265436504,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.8521437889662113}",20,0,-28.519327099463474,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.8436648165963837}",35,0,-127.50769335512844,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
