trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,6,-16.91538022685578,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-85.98357388930741,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-72.23330443397744,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-59.41747669541887,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-58.03005838465508,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-78.01627637731788,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-86.20878415040528,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-110.73327502637764,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-81.9521864186019,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-60.030665986461216,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,11,-23.514339524743257,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,2,-53.02490467117325,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-61.13074987644675,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,2,-19.045217349599056,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-70.31560745567462,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-31.91908415858724,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-117.75428528254199,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,13,-11.525517643901985,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
