trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-163.46454887823612,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-77.40725621529008,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-49.189278824783614,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-116.54006464746293,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-5.1684204607105135,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-142.60044130956388,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-86.8523492098851,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-122.7201335125597,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-105.4121214985388,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-178.14803309055713,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-26.29705805851182,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-141.14810603584743,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,10,-54.76526390953469,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-98.61219988153567,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-64.56769259010073,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-90.83384910503412,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-53.30068841427476,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,14,-15.048352460933597,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-88.08574971806733,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,9,-25.837846964840594,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-97.25906324275519,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,6,-44.00706676631383,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-103.49661187497671,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,5,-111.58747413723273,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 2}",1
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,8,-6.283390862799156,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,11,3.0374730884661334,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-62.938377066914924,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-35.247315084204345,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-62.32120668888143,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-64.29565565124537,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-76.78789797294579,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-32.89766282022765,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-72.23133339481228,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,0,-53.29155715223693,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,0,-65.05081921466952,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-45.16906380179688,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,0,-94.01901580826383,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-53.41696001201376,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",20,0,-37.16671135054975,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-14.543700807429323,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-63.7709974428703,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,3.554965801761788,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-173.44919877720437,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-68.53849959302444,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,0,-27.562763398954765,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-80.17157589852582,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-8.163160422952707,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-81.37172510658212,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,14,11.438301422604026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,0,-66.39156907518898,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,8,-38.897796304629466,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-76.74779918265904,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,10,5.773917371214049,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-75.39454917725158,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-62.089009550004036,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,0,-2.8721241529279866,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-75.93916228365005,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",25,0,-83.82396809165634,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
