trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-55.42228815467929,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,12,-16.98906406464695,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-40.51749005481064,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-46.00374662433412,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-106.44096032262459,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-261.90496384374353,"{0: 8, 1: 4, 2: 9, 3: 0, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-27.595190069052876,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-157.08825415213187,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-118.13076427583793,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,16,5.903820029528618,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-87.25465876533029,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-110.288210988047,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,14,-3.096204079770218,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-86.1188123400595,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,5,-94.71139654784272,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,1,-40.836226816667214,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 0}",1
