trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-68.264341758218,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,7,-32.02155985613725,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-24.329511893157544,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-149.52728572744456,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-33.91895354059697,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-116.03494813167106,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-128.6645853679696,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-88.63901253779605,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",35,24,-13.226959984439347,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-199.55094795075289,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-32.755139289882074,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-37.54912873238953,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-12.516755354860683,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-116.78476196321361,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-159.4620114628858,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-34.0855264145734,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,0,-128.6168076550725,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-128.00031027335817,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-108.87089004031891,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-33.70992180988439,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,5,-34.83525390217413,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,14,-44.465223858681306,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-47.54126306977698,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-68.16671431685702,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-105.1617443392648,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-28.10309810275092,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,1,-111.22592810145156,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-75.9086152494021,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-128.95018342019776,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-11.906085981833842,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-119.47991303275163,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-172.90441894004942,"{0: 11, 1: 4, 2: 0, 3: 2, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-73.28730960897411,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-52.56100542408981,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,1,-17.111854784389966,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,1,-102.21033755343382,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,0,-160.10528047852242,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-145.70080928156557,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,2,-80.22845955724821,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-56.25713711435395,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,3,-77.99786708157696,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-38.045857007485154,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",35,0,-150.03398104292722,"{0: 27, 1: 0, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-74.11337678155408,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,2,-29.095262907030772,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,9,17.473174013254972,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,3,-92.90781011477631,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-101.14514995739289,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-37.932625476683576,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,9,-32.49965475096966,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-52.58087776579315,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-83.76905095880417,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,0,-100.79187007532364,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,0,-111.64525760642573,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",30,9,-44.969990034291705,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-59.440797164741824,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,13,15.719720953074217,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-93.37625401218303,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-88.6996231384879,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,13,-30.709356677286223,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,3,-75.72269429289425,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,11.61388989846334,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,10,-20.659937735924608,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-44.445143311480145,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",25,5,-23.46873154712618,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,0,-51.93829635655614,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,-155.6398028907901,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-43.365704611862405,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,14,1.9818172570429191,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,14.82502065544603,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,4,19.14881349196955,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-149.2004091712552,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,2,-123.55827476568761,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 2}",1
